MMS Id,Network Number,Bibliographic Lifecycle,Collection Name,Suppressed From Discovery,Num Digital Representations  (In Repository),Title
991011507138004641,grinnell:17946,In Repository,Faculty Scholarship,No,1,Tapping natureG??s bounty: science and sugar maples in the age of improvement
991011507138104641,grinnell:170,In Repository,Faculty Scholarship,No,4,The Life of a Library Text: Grinnell College's Black Library
991011507138204641,grinnell:26696,In Repository,Faculty Scholarship,No,1,Let us Change the Most Disliked Course on Campus
991011507138304641,grinnell:13255,In Repository,Faculty Scholarship,No,1,The Mosque as a 'School of Democracy': Civic Skill Opportunity and Houses of Worship in Indonesia
991011507138404641,grinnell:26695,In Repository,Faculty Scholarship,No,1,Data Analysis: An Adjunct to Mathematical Statistics at Oberlin College [001]
991011507138504641,grinnell:10000,In Repository,Faculty Scholarship,No,9,Computer Science Mentored Advanced Project
991011507138604641,grinnell:13253,In Repository,Faculty Scholarship,No,1,Completely Decomposable Jacobian Varieties in New Genera
991011507138704641,grinnell:26694,In Repository,Faculty Scholarship,No,1,Teaching Statistics as a Respectable Subject
991011507138804641,grinnell:35245,In Repository,Faculty Scholarship,No,6,Descriptive Attributes for Language-based Object Keypoint Detection
991011507138904641,grinnell:26693,In Repository,Faculty Scholarship,No,1,Getting More Data into Theoretical Statistics Courses
991011507139004641,grinnell:13252,In Repository,Faculty Scholarship,No,1,Experimental studies of selection and adaptation in Clarkia xantiana (Onagraceae). III. Phenotypic selection across a subspecies
991011507139104641,grinnell:6266,In Repository,Faculty Scholarship,No,2,A Discriminative Semi-Markov Model for Robust Scene Text Recognition
991011507139204641,grinnell:26692,In Repository,Faculty Scholarship,No,1,Multivariate Statistical Analysis for Mathematics Majors
991011507139304641,grinnell:13251,In Repository,Faculty Scholarship,No,1,"Studio Faculty Exhibition 2016, Faulconer Gallery, Grinnell COllege"
991011507139404641,grinnell:5000,In Repository,Faculty Scholarship,No,27,China Adventure - A Blog by Professor Daniel Kaiser
991011507139504641,grinnell:26691,In Repository,Faculty Scholarship,No,1,Alternative Introductions to Applied Statistics for Mathematics Students
991011507139604641,grinnell:11683,In Repository,Faculty Scholarship,No,1,Lith Bibliography
991011507139704641,grinnell:19503,In Repository,Faculty Scholarship,No,2,Death and Ressurextion of Christi
991011507139804641,grinnell:26690,In Repository,Faculty Scholarship,No,1,Some Favorite Data Sets: Using the Computer on Real Data in Class
991011507139904641,grinnell:11682,In Repository,Faculty Scholarship,No,1,"Fair Wages, Worker Motivation and Implicit Bargaining Power in Segmented Labor Markets"
991011507140004641,grinnell:18491,In Repository,Faculty Scholarship,No,2,The Digital Potential: Making Digital Objects More Than a TIFF Image and a MODS Record
991011507140104641,grinnell:26689,In Repository,Faculty Scholarship,No,1,Consulting: An Aid In Recruiting Statistics Students Or Statistical Consulting In Training Students
991011507140204641,grinnell:11680,In Repository,Faculty Scholarship,No,1,Explaining the Rising Wage-Productivity Gap on the 1980s: Effects of Declining Employment and Unionization
991011507140304641,grinnell:11679,In Repository,Faculty Scholarship,No,1,Union Bargaining Power in an Efficiency Wage Environment
991011507140404641,grinnell:331,In Repository,Faculty Scholarship,No,4,Organizing For The Future
991011507140504641,grinnell:26688,In Repository,Faculty Scholarship,No,1,Opportunities for Statisticians at 4-Year Undergraduate Institutions
991011507140604641,grinnell:11678,In Repository,Faculty Scholarship,No,1,A Two-Sector Effort-Regulation Model with Implications for Wage Developments of the 1980s
991011507140704641,grinnell:26687,In Repository,Faculty Scholarship,No,1,"Multivariate Descriptive Statistics, An Alternative Introduction to Statistics"
991011507140804641,grinnell:144,In Repository,Faculty Scholarship,No,3,Tod und Auferstehung
991011507140904641,grinnell:11659,In Repository,Faculty Scholarship,No,1,"Worker Motivation, Wages, and Bilateral Market Power in Nonunion Labor Markets"
991011507141004641,grinnell:26685,In Repository,Faculty Scholarship,No,1,Applied Introductory Statistics Courses for Mathematics Majors at Liberal Arts Colleges
991011507141104641,grinnell:23333,In Repository,Faculty Scholarship,No,10,"Code and Data for /""[Rp] Reproducing: 'Typographical features for scene text recognition'/"""
991011507141204641,grinnell:11646,In Repository,Faculty Scholarship,No,1,Social Context and the Spread of HIV: A Game-theoretic Investigation on Impacts of Social Stigma and HIV Education on Epidemic Outcomes
991011507141304641,grinnell:26684,In Repository,Faculty Scholarship,No,1,Forecasting/Time Series Analysis: An Introduction to Applied Statistics for Mathematics Students
991011507141404641,grinnell:23320,In Repository,Faculty Scholarship,No,9,Deep Neural Networks for Text Detection and Recognition in Historical Maps
991011507141504641,grinnell:11475,In Repository,Faculty Scholarship,No,1,Cycles of Conflict: A Computational Modeling Alternative to Collins's Theory of Conflict Escalation
991011507141604641,grinnell:26667,In Repository,Faculty Scholarship,No,1,Reduced pollinator service and elevated pollen limitation at the geographic range limit of an annual plant
991011507141704641,grinnell:34450,In Repository,Faculty Scholarship,No,4,"Counting the Corner Cases: Revisiting Robust Reading Challenge Data Sets, Evaluation Protocols, and Metrics"
991011507141804641,grinnell:1099,In Repository,Faculty Scholarship,No,1,The Peter Ridgway Jordan Collection
991011507141904641,grinnell:26666,In Repository,Faculty Scholarship,No,1,Experimental Studies of Adaptation in Clarkia Xantiana. I. Sources of Trait Variation Across a Subspecies Border
991011507142004641,grinnell:10010,In Repository,Faculty Scholarship,No,1,ACM Works of Dr. Henry M. Walker
991011507142104641,grinnell:32100,In Repository,Faculty Scholarship,No,4,"The Collembola of North America, North of the Rio Grande: A Taxonomic Analysis - 4 Volumes"
991011507142204641,grinnell:26665,In Repository,Faculty Scholarship,No,1,The effects of floral display on pollinator visitation vary among populations of Phacelia linearis (Hydrophyllaceae)
991011507142304641,grinnell:13118,In Repository,Faculty Scholarship,No,2,Ken Christiansen Collembola Collection
991011507142404641,grinnell:26664,In Repository,Faculty Scholarship,No,1,"Wood Anatomy of Hydrophyllaceae. II. GeneraOther Tan Eriodictyon, with Comments on Parenchyma Bands Containing Vessels with Large Pits"
991011507196704641,grinnell:100,In Repository,Student Scholarship,No,1,Avoiding the New Cold War: Environmental Conflict Resolution and the Need for an International Legal Regime in the High Arctic
991011507198204641,grinnell:31911,In Repository,Student Scholarship,No,1,Sin for a Sign? Another Look at Milton's Sin and Death
991011507198304641,grinnell:31910,In Repository,Student Scholarship,No,1,Divinity and Power: Gendered Constructions of Identity in Portraits of Marie De Medici and Henry IV
991011507198404641,grinnell:3190,In Repository,Student Scholarship,No,1,"P.A.L.S. Volunteer Retention Project, Final Report"
991011507198504641,grinnell:31909,In Repository,Student Scholarship,No,1,Women's Rights and Development in India
991011507198604641,grinnell:31908,In Repository,Student Scholarship,No,1,Speech: French Identity and Music under Nazi Occupation
991011507198704641,grinnell:31907,In Repository,Student Scholarship,No,1,Quatrevingt-Treize in Soixante-Quatorze: Victor Hugo's Portrayal of the Revolution
991011507198804641,grinnell:31906,In Repository,Student Scholarship,No,1,Security (Short Story)
991011507198904641,grinnell:31905,In Repository,Student Scholarship,No,1,"Hunting for a Hen: Bird Imagery and Erotic Connotations in Rembrandt, Snyders and Dow"
991011507199004641,grinnell:31904,In Repository,Student Scholarship,No,1,Biopolitics and the Experience of the Cambodian Genocide
991011507199104641,grinnell:31903,In Repository,Student Scholarship,No,1,"Matter, Agency, and Transcendence in Milton's Prose and Verse"
991011507199204641,grinnell:31902,In Repository,Student Scholarship,No,1,"/""The Unfortunate Persons from St. Domingo/"": Refugees from the Haitian Revolution and the Contradictions of Early American Politics"
991011507199304641,grinnell:31901,In Repository,Student Scholarship,No,1,Amorous Complaint in a Simple Story: A Manipulation and Rejection of Traditional Gender Roles
991011507199404641,grinnell:31900,In Repository,Student Scholarship,No,1,Shadows and Bloodlines in the Royal Family Potrait: Francisco Goya and 18th Century Mexican Casta Paintings
991011507199504641,grinnell:318,In Repository,Student Scholarship,No,1,Altering Clay: Enhancing Daily Rituals
991011507199604641,grinnell:31899,In Repository,Student Scholarship,No,1,Translating Identities: The Poetry of Angel Island
991011507199704641,grinnell:31898,In Repository,Student Scholarship,No,1,Allusion to Homer in the Mosaic of Odysseus and the Sirens from Dougga
991011507199804641,grinnell:315,In Repository,Student Scholarship,No,1,"Guide to Prairie Sites near Grinnell, Iowa"
991011507199904641,grinnell:3061,In Repository,Student Scholarship,No,1,Grinnellians in the Era of Disunion
991011507200004641,grinnell:3057,In Repository,Student Scholarship,No,1,Preparedness for Higher Education among Grinnell High School Graduates
991011507200104641,grinnell:3056,In Repository,Student Scholarship,No,1,"An Evaluation of Galaxy, Inc.'s Fundraising Strategy"
991011507200204641,grinnell:30067,In Repository,Student Scholarship,No,1,Milton and the Disintegration of the Public Space
991011507200304641,grinnell:30066,In Repository,Student Scholarship,No,1,"Buddhism, Homosexuality, and Non-Binary Genders in Thailand"
991011507200404641,grinnell:29788,In Repository,Student Scholarship,No,1,The Fortunes of Grenceaster: A Collection of Stories
